complexity,accuracy,distortion,mse,gNID,eps,beta,run,point_type,round,universe,prior,num_signals,distance,discriminative_need_gamma,meaning_dist_gamma,dynamics,imprecise_imitation_gamma,population_init_gamma,seed,ib_bound_function
1.5175157,1.5421476,0.3698802,2.298876,,,,1.0,trajectory,117.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5175295,1.5421543,0.36987352,2.2988749,,,,1.0,trajectory,118.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5175381,1.5421557,0.3698721,2.2988834,,,,1.0,trajectory,119.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5175424,1.5421534,0.36987448,2.2989013,,,,1.0,trajectory,120.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5175414,1.5421476,0.3698802,2.2989278,,,,1.0,trajectory,121.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5175371,1.5421371,0.3698907,2.298962,,,,1.0,trajectory,122.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.517529,1.5421238,0.36990404,2.2990043,,,,1.0,trajectory,123.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5175161,1.5421071,0.36992073,2.2990534,,,,1.0,trajectory,124.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5175004,1.5420885,0.36993933,2.2991095,,,,1.0,trajectory,125.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5174813,1.5420651,0.3699627,2.2991712,,,,1.0,trajectory,126.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5174589,1.5420403,0.3699875,2.2992387,,,,1.0,trajectory,127.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
